Recipe_ID,Cuisine,Ingredients,Category,Cooking_Time,Difficulty,Cooking_Method,Serving_Size
22,Japanese,"Ginger, Miso, Soy Sauce, Dashi, Tofu, Seaweed, Mirin, Rice, Sesame Seeds, Wasabi",Dessert,111,Medium,Sauteing,2
23,Japanese,"Ginger, Dashi, Miso, Wasabi, Tofu",Dinner,67,Hard,Sauteing,2
24,Italian,"Pasta, Parmesan, Tomato, Oregano, Olive Oil, Mozzarella, Garlic, Balsamic Vinegar, Bread, Basil",Lunch,41,Medium,Sauteing,3
25,Japanese,"Rice, Mirin, Seaweed, Soy Sauce, Ginger, Sesame Seeds, Tofu, Dashi",Snack,59,Hard,Baking,6
26,Chinese,"Garlic, Rice Vinegar, Ginger, Noodles, Spring Onion, Hoisin Sauce, Sesame Oil, Tofu, Soy Sauce",Dinner,28,Hard,Frying,5
27,Indian,"Tomato, Yogurt, Coriander, Lentils, Cumin, Ginger, Turmeric, Chili, Ghee, Garam Masala",Breakfast,86,Hard,Frying,2
28,Thai,"Lemongrass, Tamarind, Chili, Basil, Lime, Shrimp, Coconut Milk, Fish Sauce, Peanut, Rice Noodles",Snack,43,Hard,Boiling,3
29,American,"Pickles, Mustard, Bun, Tomato, Lettuce, Ketchup, Cheddar, Onion, Bacon, Beef",Snack,16,Easy,Steaming,2
30,French,"Cream, Onion, Butter, White Wine, Flour",Snack,88,Medium,Boiling,2
31,Japanese,"Wasabi, Miso, Sesame Seeds, Mirin, Tofu, Rice, Soy Sauce",Snack,79,Easy,Frying,3
32,Mediterranean,"Lemon, Cucumber, Yogurt, Paprika, Garlic, Pita Bread, Tomato, Feta Cheese, Olive Oil",Breakfast,75,Easy,Slow Cooking,2
33,Chinese,"Garlic, Hoisin Sauce, Ginger, Soy Sauce, Tofu, Noodles, Sesame Oil",Lunch,103,Easy,Steaming,5
34,Mexican,"Lime, Avocado, Cheese, Beans, Tortilla, Salsa",Breakfast,61,Medium,Sauteing,5
35,Indian,"Cumin, Chili, Ginger, Turmeric, Ghee, Coriander",Lunch,80,Medium,Baking,4
36,Italian,"Mozzarella, Basil, Parmesan, Tomato, Pasta, Garlic",Snack,55,Hard,Slow Cooking,1
37,Mexican,"Cheese, Avocado, Corn, Salsa, Chili Powder, Cilantro, Cumin",Snack,109,Easy,Baking,3
38,Mediterranean,"Yogurt, Chickpeas, Feta Cheese, Tomato, Garlic, Cucumber",Dinner,54,Medium,Boiling,4
39,American,"Beef, Lettuce, Bacon, Cheddar, Mustard, Tomato, Bun, Pickles",Lunch,51,Hard,Steaming,5
40,French,"Onion, Butter, Garlic, Eggs, Cream, Milk, Cheese, Thyme, White Wine",Lunch,112,Hard,Grilling,2
41,French,"Flour, Butter, Cheese, Milk, Garlic, Eggs",Snack,40,Medium,Frying,5
42,Japanese,"Mirin, Miso, Ginger, Soy Sauce, Tofu",Breakfast,41,Easy,Slow Cooking,5
43,Chinese,"Spring Onion, Ginger, Soy Sauce, Sesame Oil, Hoisin Sauce",Breakfast,96,Medium,Frying,4
44,Chinese,"Spring Onion, Ginger, Soy Sauce, Noodles, Garlic, Hoisin Sauce, Tofu, Sesame Oil, Rice Vinegar",Snack,15,Medium,Slow Cooking,3
45,Mediterranean,"Olive Oil, Pita Bread, Feta Cheese, Lemon, Garlic, Paprika",Snack,105,Easy,Grilling,2
46,Chinese,"Soy Sauce, Ginger, Noodles, Sesame Oil, Tofu, Garlic",Breakfast,88,Medium,Frying,3
47,Chinese,"Tofu, Rice Vinegar, Ginger, Garlic, Sesame Oil",Dinner,94,Hard,Frying,6
48,Japanese,"Wasabi, Sesame Seeds, Dashi, Seaweed, Ginger, Mirin",Breakfast,16,Hard,Baking,6
49,French,"Cream, Milk, Cheese, Flour",Lunch,38,Medium,Boiling,1
50,Japanese,"Miso, Wasabi, Dashi, Mirin",Dinner,14,Easy,Roasting,5
51,Chinese,"Hoisin Sauce, Garlic, Ginger, Tofu, Sesame Oil, Spring Onion",Dessert,79,Medium,Sauteing,1
52,Mexican,"Avocado, Tortilla, Lime, Beans",Dessert,104,Easy,Slow Cooking,5
53,Mexican,"Tortilla, Cumin, Avocado, Beans, Chili Powder, Salsa, Cilantro, Corn",Dessert,13,Easy,Sauteing,6
54,Mexican,"Avocado, Lime, Beans, Cheese",Lunch,96,Hard,Frying,1
55,Thai,"Shrimp, Lemongrass, Coconut Milk, Rice Noodles, Fish Sauce, Chili",Dessert,28,Medium,Frying,4
56,Chinese,"Tofu, Spring Onion, Hoisin Sauce, Ginger",Lunch,63,Hard,Frying,5
57,Mediterranean,"Feta Cheese, Yogurt, Garlic, Olive Oil, Lemon, Chickpeas, Cucumber, Pita Bread, Paprika, Tomato",Dessert,25,Easy,Frying,3
58,Mediterranean,"Pita Bread, Cucumber, Olive Oil, Paprika, Chickpeas",Snack,29,Medium,Roasting,4
59,Indian,"Lentils, Tomato, Coriander, Garam Masala, Ghee, Turmeric, Cumin, Yogurt, Chili",Dessert,60,Medium,Baking,6
60,American,"Bun, Beef, Ketchup, Pickles, Mustard, Bacon",Lunch,71,Easy,Boiling,6
61,Mexican,"Lime, Cumin, Salsa, Cilantro, Beans",Dinner,103,Hard,Roasting,3
62,Thai,"Rice Noodles, Shrimp, Lime, Fish Sauce",Lunch,97,Medium,Steaming,3
63,Japanese,"Wasabi, Miso, Mirin, Rice, Dashi",Breakfast,15,Easy,Frying,4
64,Japanese,"Tofu, Soy Sauce, Dashi, Sesame Seeds, Mirin",Snack,69,Medium,Frying,6
65,American,"Tomato, Cheddar, Bacon, Lettuce, Beef, Onion, Ketchup",Snack,25,Medium,Baking,4
66,French,"Garlic, Onion, Butter, Flour, Cheese, Cream, Thyme",Lunch,61,Medium,Boiling,5
67,Italian,"Pasta, Parmesan, Garlic, Mozzarella, Basil, Oregano",Dessert,91,Easy,Boiling,4
68,Mexican,"Lime, Tortilla, Chili Powder, Cilantro, Cumin",Lunch,57,Medium,Grilling,2
69,French,"Butter, White Wine, Cream, Milk, Eggs, Garlic, Flour",Dinner,27,Hard,Steaming,2
70,Mediterranean,"Olive Oil, Paprika, Lemon, Pita Bread",Dessert,90,Hard,Baking,5
71,Indian,"Turmeric, Cumin, Tomato, Garam Masala, Coriander, Ghee, Chili",Snack,23,Hard,Steaming,4
72,American,"Bun, Lettuce, Cheddar, Tomato, Pickles, Bacon",Lunch,115,Hard,Boiling,3
73,Italian,"Oregano, Mozzarella, Balsamic Vinegar, Garlic, Bread, Parmesan, Pasta, Basil",Lunch,12,Hard,Frying,4
74,American,"Beef, Ketchup, Tomato, Bun",Lunch,40,Medium,Steaming,5
75,Indian,"Coriander, Chili, Yogurt, Garam Masala, Lentils, Ginger, Cumin, Turmeric",Lunch,51,Hard,Roasting,4
76,Japanese,"Mirin, Rice, Sesame Seeds, Seaweed",Snack,47,Medium,Frying,6
77,Italian,"Tomato, Pasta, Mozzarella, Bread, Parmesan, Balsamic Vinegar",Snack,60,Hard,Baking,5
78,Mexican,"Beans, Salsa, Chili Powder, Cumin, Tortilla, Corn, Cilantro, Lime, Cheese",Dinner,71,Hard,Frying,1
79,Mexican,"Cilantro, Cumin, Cheese, Salsa, Chili Powder, Beans, Tortilla",Dinner,35,Medium,Steaming,4
80,American,"Mustard, Lettuce, Cheddar, Bun, Pickles, Ketchup, Beef, Bacon, Onion",Dessert,83,Easy,Boiling,5
81,Italian,"Garlic, Balsamic Vinegar, Pasta, Basil, Parmesan, Olive Oil, Bread, Tomato",Breakfast,49,Hard,Sauteing,3
82,Mexican,"Tortilla, Salsa, Chili Powder, Cumin, Cilantro, Lime, Avocado, Corn, Beans",Breakfast,43,Medium,Baking,2
83,Chinese,"Sesame Oil, Hoisin Sauce, Ginger, Spring Onion, Tofu, Garlic",Breakfast,43,Hard,Sauteing,6
84,Mexican,"Corn, Lime, Avocado, Cumin, Chili Powder, Tortilla, Salsa, Cilantro, Cheese, Beans",Breakfast,88,Medium,Sauteing,3
85,Italian,"Balsamic Vinegar, Parmesan, Basil, Tomato, Olive Oil, Bread, Oregano, Mozzarella, Garlic, Pasta",Lunch,17,Easy,Grilling,2
86,American,"Tomato, Lettuce, Onion, Cheddar, Bun",Dinner,93,Hard,Grilling,2
87,American,"Beef, Onion, Lettuce, Bun",Lunch,62,Medium,Steaming,1
88,American,"Mustard, Ketchup, Bacon, Cheddar, Pickles, Tomato, Onion",Dessert,76,Hard,Grilling,3
89,French,"White Wine, Onion, Milk, Garlic",Lunch,95,Easy,Roasting,5
90,French,"Butter, White Wine, Cream, Eggs, Cheese, Onion",Snack,39,Hard,Roasting,1
91,Thai,"Peanut, Chili, Rice Noodles, Coconut Milk, Basil, Lemongrass, Lime, Tamarind, Shrimp",Dinner,116,Medium,Sauteing,1
92,Mexican,"Chili Powder, Corn, Beans, Cheese",Breakfast,87,Easy,Boiling,3
93,Indian,"Yogurt, Chili, Garam Masala, Tomato, Turmeric",Lunch,96,Medium,Slow Cooking,5
94,Thai,"Lemongrass, Shrimp, Coconut Milk, Basil, Peanut",Snack,37,Hard,Baking,1
95,French,"Onion, Flour, Cream, Garlic",Dessert,109,Easy,Baking,5
96,French,"Milk, Thyme, Flour, Garlic",Snack,44,Easy,Slow Cooking,3
97,American,"Ketchup, Bun, Cheddar, Mustard, Lettuce, Tomato",Dinner,118,Easy,Roasting,5
98,American,"Bacon, Bun, Beef, Tomato, Ketchup, Onion, Lettuce",Lunch,27,Easy,Baking,2
99,Indian,"Turmeric, Tomato, Cumin, Ginger, Coriander",Dessert,117,Easy,Roasting,3
100,Thai,"Shrimp, Tamarind, Lemongrass, Chili",Dessert,39,Medium,Frying,3
101,Chinese,"Sesame Oil, Hoisin Sauce, Tofu, Spring Onion, Ginger, Soy Sauce, Garlic",Snack,55,Easy,Steaming,2
102,Japanese,"Soy Sauce, Wasabi, Tofu, Miso, Rice, Seaweed, Mirin, Dashi, Sesame Seeds, Ginger",Lunch,108,Easy,Grilling,6
103,American,"Tomato, Bacon, Lettuce, Onion, Bun, Mustard",Snack,51,Hard,Grilling,5
104,Japanese,"Miso, Tofu, Mirin, Sesame Seeds",Snack,40,Medium,Sauteing,6
105,Italian,"Oregano, Tomato, Pasta, Mozzarella",Snack,49,Easy,Frying,4
106,Chinese,"Rice Vinegar, Soy Sauce, Noodles, Tofu, Sesame Oil, Spring Onion, Hoisin Sauce, Garlic, Ginger",Dinner,69,Medium,Boiling,5
107,French,"Cheese, Onion, Garlic, White Wine, Eggs",Dinner,110,Medium,Baking,2
108,Italian,"Bread, Garlic, Pasta, Tomato, Oregano",Dessert,84,Easy,Steaming,1
109,American,"Lettuce, Beef, Bacon, Cheddar, Bun, Ketchup, Mustard, Pickles, Onion",Breakfast,83,Easy,Frying,3
110,Mediterranean,"Yogurt, Olive Oil, Pita Bread, Feta Cheese",Dinner,116,Easy,Sauteing,4
111,Mexican,"Corn, Salsa, Beans, Cilantro, Lime, Avocado",Breakfast,33,Hard,Slow Cooking,5
112,Mexican,"Salsa, Cilantro, Chili Powder, Beans, Lime, Tortilla, Cheese",Lunch,100,Easy,Frying,6
113,Mediterranean,"Tomato, Lemon, Paprika, Feta Cheese, Chickpeas",Lunch,99,Easy,Frying,4
114,Chinese,"Garlic, Noodles, Tofu, Ginger",Breakfast,94,Hard,Steaming,1
115,Mexican,"Chili Powder, Cheese, Beans, Corn, Tortilla, Avocado, Cumin, Salsa, Lime, Cilantro",Dessert,116,Medium,Frying,4
116,French,"White Wine, Butter, Thyme, Eggs, Flour, Garlic, Milk, Cream, Onion, Cheese",Dessert,68,Easy,Baking,2
117,Mexican,"Cumin, Avocado, Beans, Chili Powder, Corn, Tortilla",Dinner,85,Medium,Steaming,3
118,Indian,"Lentils, Coriander, Yogurt, Chili, Ghee, Cumin, Ginger, Garam Masala",Snack,111,Easy,Frying,5
119,Indian,"Coriander, Cumin, Garam Masala, Tomato, Yogurt, Ghee, Turmeric",Dessert,74,Easy,Steaming,2
120,Mediterranean,"Feta Cheese, Cucumber, Chickpeas, Paprika, Tomato, Olive Oil, Lemon",Snack,86,Medium,Slow Cooking,5
121,Mexican,"Beans, Avocado, Chili Powder, Corn, Salsa, Tortilla, Lime, Cheese, Cumin, Cilantro",Snack,48,Easy,Boiling,5
122,American,"Ketchup, Onion, Beef, Bun, Mustard, Pickles, Cheddar",Lunch,83,Easy,Baking,5
123,Japanese,"Tofu, Rice, Seaweed, Wasabi, Soy Sauce",Lunch,38,Medium,Slow Cooking,1
124,Japanese,"Mirin, Rice, Sesame Seeds, Dashi, Seaweed",Dessert,35,Medium,Roasting,6
125,Japanese,"Ginger, Tofu, Rice, Wasabi, Sesame Seeds, Miso, Dashi, Seaweed",Lunch,97,Hard,Grilling,5
126,American,"Bun, Mustard, Onion, Bacon, Ketchup",Snack,82,Hard,Frying,4
127,Chinese,"Ginger, Tofu, Sesame Oil, Hoisin Sauce, Spring Onion, Noodles, Garlic, Rice Vinegar",Snack,38,Medium,Boiling,1
128,French,"Cheese, Milk, Eggs, Cream, Thyme, Butter",Dessert,16,Easy,Boiling,1
129,Japanese,"Wasabi, Dashi, Seaweed, Tofu, Rice, Miso, Ginger, Sesame Seeds, Soy Sauce",Dinner,52,Easy,Boiling,1
130,American,"Beef, Cheddar, Onion, Tomato, Mustard, Pickles, Bun",Snack,65,Easy,Boiling,4
131,Thai,"Rice Noodles, Lemongrass, Fish Sauce, Shrimp",Dessert,80,Medium,Baking,4
132,Japanese,"Sesame Seeds, Tofu, Wasabi, Ginger, Dashi, Miso, Seaweed, Rice",Dinner,26,Hard,Sauteing,6
133,Mexican,"Cilantro, Tortilla, Cumin, Salsa, Beans, Chili Powder, Corn, Avocado, Cheese",Dinner,16,Easy,Roasting,6
134,Italian,"Mozzarella, Garlic, Olive Oil, Balsamic Vinegar, Pasta, Tomato, Oregano, Parmesan",Dessert,42,Hard,Boiling,2
135,Mexican,"Avocado, Cilantro, Cheese, Corn, Beans, Chili Powder, Salsa, Tortilla, Cumin, Lime",Breakfast,69,Easy,Roasting,5
136,Japanese,"Rice, Soy Sauce, Sesame Seeds, Dashi, Ginger, Seaweed, Mirin, Tofu, Wasabi",Snack,80,Easy,Baking,1
137,Japanese,"Miso, Rice, Soy Sauce, Wasabi, Ginger",Breakfast,114,Easy,Steaming,5
138,Indian,"Tomato, Ginger, Lentils, Turmeric, Ghee, Cumin, Coriander, Yogurt",Snack,117,Easy,Frying,6
139,Mediterranean,"Olive Oil, Garlic, Yogurt, Paprika",Lunch,116,Easy,Grilling,2
140,Mediterranean,"Olive Oil, Tomato, Feta Cheese, Pita Bread",Dessert,91,Medium,Grilling,6
141,Indian,"Turmeric, Yogurt, Lentils, Ginger, Ghee, Cumin, Coriander, Garam Masala, Chili",Dessert,49,Hard,Baking,1
142,Japanese,"Rice, Wasabi, Ginger, Soy Sauce, Tofu, Sesame Seeds",Dessert,29,Easy,Boiling,5
143,Thai,"Tamarind, Fish Sauce, Chili, Coconut Milk, Lime, Peanut, Basil, Rice Noodles, Shrimp",Snack,99,Easy,Steaming,1
144,Italian,"Garlic, Balsamic Vinegar, Tomato, Mozzarella, Olive Oil",Lunch,54,Medium,Roasting,1
145,Thai,"Basil, Lime, Coconut Milk, Rice Noodles, Fish Sauce, Chili, Lemongrass, Tamarind, Shrimp",Dinner,115,Medium,Steaming,6
146,Japanese,"Miso, Sesame Seeds, Dashi, Ginger, Tofu, Seaweed, Wasabi",Dessert,22,Easy,Slow Cooking,2
147,Japanese,"Dashi, Seaweed, Wasabi, Sesame Seeds, Tofu, Miso",Breakfast,101,Easy,Sauteing,2
148,Thai,"Basil, Tamarind, Peanut, Rice Noodles, Shrimp, Chili, Lime, Coconut Milk, Lemongrass, Fish Sauce",Breakfast,34,Medium,Steaming,6
149,Italian,"Basil, Pasta, Parmesan, Mozzarella",Dessert,100,Hard,Baking,5
150,Thai,"Lime, Coconut Milk, Shrimp, Lemongrass, Rice Noodles, Peanut, Basil",Snack,112,Hard,Roasting,1
151,Italian,"Oregano, Bread, Parmesan, Garlic, Basil, Mozzarella, Pasta",Lunch,58,Easy,Roasting,1
152,Italian,"Garlic, Parmesan, Bread, Mozzarella, Pasta, Balsamic Vinegar, Olive Oil",Breakfast,45,Hard,Slow Cooking,6
153,American,"Mustard, Pickles, Ketchup, Lettuce, Onion, Bun",Snack,85,Easy,Sauteing,4
154,Thai,"Fish Sauce, Peanut, Tamarind, Lime, Basil",Breakfast,34,Easy,Slow Cooking,5
155,Italian,"Oregano, Mozzarella, Balsamic Vinegar, Basil",Dessert,33,Hard,Sauteing,6
156,Thai,"Peanut, Lemongrass, Rice Noodles, Lime, Tamarind, Basil, Chili",Breakfast,82,Easy,Frying,1
157,Japanese,"Miso, Rice, Sesame Seeds, Soy Sauce, Seaweed",Dessert,82,Hard,Grilling,2
158,American,"Onion, Lettuce, Beef, Mustard",Breakfast,104,Hard,Sauteing,5
159,American,"Beef, Bun, Lettuce, Ketchup, Pickles, Bacon, Onion, Tomato",Dinner,109,Easy,Boiling,4
160,Thai,"Shrimp, Coconut Milk, Lemongrass, Chili, Rice Noodles, Basil",Snack,97,Easy,Roasting,3
161,French,"Thyme, Butter, Milk, Cream, White Wine, Cheese, Flour, Garlic",Dinner,110,Easy,Roasting,4
162,Mediterranean,"Tomato, Cucumber, Olive Oil, Lemon, Garlic",Lunch,87,Medium,Sauteing,2
163,Thai,"Shrimp, Basil, Fish Sauce, Lime",Breakfast,91,Easy,Baking,3
164,Mediterranean,"Pita Bread, Lemon, Yogurt, Paprika, Tomato, Feta Cheese, Chickpeas, Garlic, Olive Oil, Cucumber",Dessert,35,Hard,Baking,6
165,Mexican,"Tortilla, Cilantro, Beans, Salsa, Corn",Lunch,39,Hard,Baking,2
166,Italian,"Oregano, Mozzarella, Pasta, Balsamic Vinegar, Basil, Garlic, Bread, Tomato, Olive Oil, Parmesan",Lunch,67,Easy,Boiling,1
167,Japanese,"Sesame Seeds, Mirin, Tofu, Wasabi, Seaweed, Dashi, Ginger, Soy Sauce, Miso",Dessert,102,Medium,Steaming,2
168,Mexican,"Cumin, Lime, Beans, Salsa, Avocado, Cheese",Lunch,48,Medium,Frying,6
169,French,"Eggs, Onion, Milk, Cheese, White Wine, Flour, Butter, Garlic, Thyme, Cream",Dessert,82,Medium,Roasting,1
170,Indian,"Garam Masala, Chili, Turmeric, Tomato, Ginger, Coriander",Dessert,98,Hard,Grilling,2
171,Mediterranean,"Olive Oil, Garlic, Paprika, Chickpeas, Cucumber, Lemon, Feta Cheese, Yogurt",Dessert,51,Hard,Grilling,6
172,Italian,"Olive Oil, Bread, Pasta, Tomato, Balsamic Vinegar",Dessert,60,Easy,Steaming,1
173,Japanese,"Miso, Ginger, Sesame Seeds, Soy Sauce, Rice, Tofu, Dashi, Mirin, Seaweed",Snack,31,Medium,Grilling,3
174,Thai,"Peanut, Tamarind, Shrimp, Fish Sauce, Lemongrass",Snack,77,Medium,Steaming,3
175,Chinese,"Hoisin Sauce, Ginger, Sesame Oil, Rice Vinegar, Tofu, Garlic",Dessert,48,Hard,Roasting,6
176,French,"Cheese, Garlic, White Wine, Onion, Eggs, Thyme, Flour, Butter, Milk, Cream",Snack,80,Easy,Sauteing,4
177,Italian,"Garlic, Parmesan, Oregano, Tomato, Bread, Olive Oil, Pasta, Mozzarella, Balsamic Vinegar, Basil",Breakfast,75,Medium,Sauteing,6
178,Mexican,"Avocado, Salsa, Lime, Cilantro, Chili Powder, Corn, Beans, Tortilla, Cumin, Cheese",Lunch,89,Easy,Roasting,4
179,Indian,"Turmeric, Chili, Ghee, Cumin, Tomato, Garam Masala, Ginger, Lentils, Coriander, Yogurt",Breakfast,111,Hard,Boiling,6
180,Mediterranean,"Paprika, Lemon, Pita Bread, Olive Oil, Chickpeas, Tomato, Yogurt, Garlic, Cucumber, Feta Cheese",Lunch,66,Medium,Baking,4
181,Indian,"Tomato, Garam Masala, Chili, Ghee, Turmeric, Cumin, Yogurt, Coriander, Ginger, Lentils",Snack,11,Medium,Grilling,6
182,Thai,"Basil, Lemongrass, Lime, Peanut, Coconut Milk, Fish Sauce, Chili, Rice Noodles",Dinner,117,Easy,Steaming,6
183,Mexican,"Cumin, Beans, Tortilla, Avocado, Cheese, Salsa, Corn, Cilantro",Lunch,97,Hard,Slow Cooking,4
184,Indian,"Yogurt, Tomato, Cumin, Turmeric, Ginger, Coriander, Garam Masala",Dinner,93,Hard,Slow Cooking,2
185,Mexican,"Chili Powder, Cheese, Beans, Corn, Cilantro, Tortilla, Avocado, Cumin",Dinner,94,Medium,Baking,5
186,Thai,"Lime, Lemongrass, Chili, Coconut Milk, Rice Noodles, Fish Sauce, Basil, Tamarind, Peanut",Snack,117,Easy,Grilling,1
187,Mediterranean,"Paprika, Garlic, Yogurt, Lemon, Chickpeas, Olive Oil, Feta Cheese, Cucumber, Pita Bread",Dinner,48,Hard,Baking,2
188,American,"Lettuce, Pickles, Ketchup, Bacon",Snack,42,Easy,Baking,3
189,Italian,"Balsamic Vinegar, Pasta, Parmesan, Oregano, Tomato, Bread, Olive Oil, Basil",Dinner,59,Medium,Roasting,4
190,Italian,"Basil, Parmesan, Olive Oil, Oregano, Balsamic Vinegar, Bread, Tomato",Dessert,35,Easy,Frying,4
191,Chinese,"Ginger, Tofu, Soy Sauce, Sesame Oil, Spring Onion, Noodles, Rice Vinegar, Garlic, Hoisin Sauce",Dessert,81,Medium,Boiling,3
192,French,"Eggs, White Wine, Cheese, Thyme, Onion, Milk, Flour, Cream",Dessert,57,Hard,Grilling,5
193,American,"Pickles, Cheddar, Bun, Bacon, Mustard, Beef",Lunch,116,Medium,Boiling,6
194,Italian,"Basil, Olive Oil, Pasta, Mozzarella, Oregano, Parmesan, Balsamic Vinegar, Tomato",Dessert,97,Easy,Baking,1
195,Mediterranean,"Lemon, Feta Cheese, Yogurt, Pita Bread, Cucumber, Paprika, Tomato, Garlic",Lunch,37,Easy,Boiling,5
196,Chinese,"Ginger, Hoisin Sauce, Garlic, Soy Sauce, Rice Vinegar, Tofu, Spring Onion, Sesame Oil",Dessert,17,Hard,Sauteing,4
197,Indian,"Ghee, Lentils, Coriander, Ginger, Garam Masala, Chili, Turmeric",Dinner,20,Medium,Boiling,3
198,Mediterranean,"Pita Bread, Chickpeas, Feta Cheese, Paprika, Tomato, Olive Oil, Yogurt, Garlic, Cucumber",Lunch,33,Easy,Baking,6
199,Indian,"Lentils, Cumin, Tomato, Turmeric, Chili, Yogurt, Coriander, Garam Masala, Ghee, Ginger",Breakfast,43,Hard,Roasting,6
200,Mediterranean,"Tomato, Olive Oil, Paprika, Cucumber",Dinner,66,Hard,Slow Cooking,5
201,Mediterranean,"Chickpeas, Olive Oil, Paprika, Pita Bread, Cucumber",Snack,115,Easy,Frying,5
202,Mexican,"Beans, Cilantro, Tortilla, Chili Powder, Cheese, Lime, Salsa, Avocado, Corn",Breakfast,77,Hard,Slow Cooking,2
203,Mexican,"Corn, Beans, Chili Powder, Salsa, Tortilla, Cheese, Lime, Cumin",Dessert,105,Medium,Frying,4
204,Mediterranean,"Paprika, Lemon, Yogurt, Pita Bread, Olive Oil, Cucumber",Lunch,54,Hard,Steaming,3
205,American,"Bun, Cheddar, Bacon, Ketchup, Beef, Onion, Lettuce, Tomato",Lunch,97,Easy,Grilling,2
206,Italian,"Oregano, Olive Oil, Parmesan, Balsamic Vinegar, Bread, Tomato, Pasta, Mozzarella, Garlic",Snack,64,Hard,Sauteing,6
207,Mexican,"Avocado, Chili Powder, Cilantro, Cheese, Tortilla, Salsa, Cumin, Lime, Corn",Dinner,86,Hard,Baking,3
208,French,"Butter, Eggs, Cheese, Onion, Milk, Garlic",Snack,13,Easy,Frying,6
209,Indian,"Ghee, Turmeric, Coriander, Tomato",Dessert,55,Hard,Frying,1
210,Thai,"Basil, Chili, Fish Sauce, Shrimp, Peanut, Coconut Milk, Rice Noodles, Lemongrass, Tamarind, Lime",Lunch,60,Hard,Grilling,6
211,Mediterranean,"Cucumber, Garlic, Tomato, Lemon, Pita Bread, Feta Cheese, Olive Oil, Yogurt, Paprika",Snack,115,Easy,Frying,2
212,Mediterranean,"Chickpeas, Tomato, Cucumber, Paprika",Dessert,113,Hard,Boiling,4
213,Thai,"Chili, Coconut Milk, Lemongrass, Rice Noodles, Basil",Snack,75,Medium,Frying,4
214,Chinese,"Hoisin Sauce, Spring Onion, Garlic, Soy Sauce, Noodles, Rice Vinegar",Dinner,52,Medium,Sauteing,5
215,Mexican,"Chili Powder, Cumin, Cheese, Beans, Lime, Corn, Cilantro",Breakfast,58,Easy,Steaming,2
216,Mediterranean,"Yogurt, Chickpeas, Cucumber, Pita Bread, Paprika, Olive Oil, Garlic, Lemon, Tomato",Dinner,35,Medium,Frying,3
217,Chinese,"Tofu, Soy Sauce, Hoisin Sauce, Ginger, Garlic, Sesame Oil",Dinner,115,Medium,Frying,5
